client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,method,dataset,total_rounds,local_epochs,iid
0,1171,0,0.0,0.0,0.0,0.0,6,215,0,133,88,153,49,183,326,18,agglomerative-inter,mnist,20,5,False
1,3099,0,0.0,0.0,0.0,0.0,69,128,181,229,566,782,8,156,978,2,agglomerative-inter,mnist,20,5,False
2,1647,0,0.0,0.0,0.0,0.0,170,147,915,59,49,97,11,41,42,116,agglomerative-inter,mnist,20,5,False
3,5462,0,0.0,0.0,0.0,0.0,328,4,160,5,1188,380,1209,61,1725,402,agglomerative-inter,mnist,20,5,False
4,4965,20,257.19,12.86,0.9962,0.0096,129,350,1253,1333,451,4,227,1151,66,1,agglomerative-inter,mnist,20,5,False
5,2992,20,152.15,7.61,0.998,0.0073,900,227,25,98,11,981,673,29,32,16,agglomerative-inter,mnist,20,5,False
6,1203,20,62.24,3.11,0.9967,0.0085,313,70,16,76,21,45,24,474,122,42,agglomerative-inter,mnist,20,5,False
7,3981,0,0.0,0.0,0.0,0.0,805,1205,375,8,648,290,214,287,4,145,agglomerative-inter,mnist,20,5,False
8,2275,0,0.0,0.0,0.0,0.0,928,11,562,30,49,65,23,19,157,431,agglomerative-inter,mnist,20,5,False
9,3627,0,0.0,0.0,0.0,0.0,744,232,306,9,36,96,29,1584,19,572,agglomerative-inter,mnist,20,5,False
10,2980,0,0.0,0.0,0.0,0.0,151,46,204,509,521,343,61,122,663,360,agglomerative-inter,mnist,20,5,False
11,4715,0,0.0,0.0,0.0,0.0,259,1394,350,1318,13,8,900,132,315,26,agglomerative-inter,mnist,20,5,False
12,2895,0,0.0,0.0,0.0,0.0,42,1029,348,348,29,2,824,1,1,271,agglomerative-inter,mnist,20,5,False
13,1866,0,0.0,0.0,0.0,0.0,293,438,483,40,98,60,201,64,2,187,agglomerative-inter,mnist,20,5,False
14,1818,0,0.0,0.0,0.0,0.0,3,9,210,221,570,235,102,308,19,141,agglomerative-inter,mnist,20,5,False
15,4883,20,244.93,12.25,0.9969,0.0081,672,134,157,515,273,78,224,14,408,2408,agglomerative-inter,mnist,20,5,False
16,5289,0,0.0,0.0,0.0,0.0,45,7,0,139,469,613,1117,1477,961,461,agglomerative-inter,mnist,20,5,False
17,2120,20,110.68,5.53,0.9962,0.0136,6,355,279,284,700,419,1,10,0,66,agglomerative-inter,mnist,20,5,False
18,1563,20,80.81,4.04,0.9974,0.0083,24,363,102,705,34,75,2,32,5,221,agglomerative-inter,mnist,20,5,False
19,1449,0,0.0,0.0,0.0,0.0,36,378,32,72,28,695,19,120,6,63,agglomerative-inter,mnist,20,5,False
