client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,method,dataset,total_rounds,local_epochs,iid
0,1068,50,103.73,2.07,0.9944,0.0115,3,171,36,60,229,3,80,277,2,207,anticlustering,mnist,50,5,False
1,796,50,63.28,1.27,0.9987,0.0042,40,33,138,2,60,26,215,49,4,229,anticlustering,mnist,50,5,False
2,2801,50,209.15,4.18,0.9979,0.0075,99,1025,290,410,336,94,86,58,75,328,anticlustering,mnist,50,5,False
3,1696,50,105.94,2.12,0.9994,0.0031,190,757,46,7,480,11,1,190,7,7,anticlustering,mnist,50,5,False
4,2106,50,153.23,3.06,0.9976,0.0087,75,322,22,102,1,9,296,412,361,506,anticlustering,mnist,50,5,False
5,2845,50,210.97,4.22,1.0,0.0014,523,7,1,824,92,2,25,1169,197,5,anticlustering,mnist,50,5,False
6,1806,50,140.34,2.81,0.995,0.0121,182,98,123,22,492,40,275,65,327,182,anticlustering,mnist,50,5,False
7,3013,50,223.02,4.46,0.996,0.0161,467,5,29,502,743,173,221,74,681,118,anticlustering,mnist,50,5,False
8,2983,50,222.37,4.45,0.996,0.0109,539,261,320,640,150,287,220,188,372,6,anticlustering,mnist,50,5,False
9,2284,50,169.21,3.38,0.9961,0.0107,432,267,968,28,1,1,10,98,441,38,anticlustering,mnist,50,5,False
10,1705,50,137.19,2.74,0.9971,0.0062,88,278,183,519,3,99,58,322,101,54,anticlustering,mnist,50,5,False
11,3442,50,250.92,5.02,0.9988,0.0024,150,916,698,8,27,1168,85,227,163,0,anticlustering,mnist,50,5,False
12,2072,50,155.19,3.1,0.9981,0.0076,25,97,131,68,144,415,341,468,7,376,anticlustering,mnist,50,5,False
13,957,50,78.52,1.57,0.9958,0.0119,170,205,37,16,37,90,168,60,23,151,anticlustering,mnist,50,5,False
14,1802,50,137.79,2.76,0.9994,0.0041,1,45,0,274,55,259,448,20,21,679,anticlustering,mnist,50,5,False
15,1332,50,105.35,2.11,1.0,0.0024,391,51,108,1,109,273,57,200,128,14,anticlustering,mnist,50,5,False
16,744,50,65.62,1.31,0.9987,0.0086,26,13,92,63,176,71,28,257,0,18,anticlustering,mnist,50,5,False
17,508,50,45.02,0.9,0.9961,0.0197,3,8,102,8,3,37,92,84,56,115,anticlustering,mnist,50,5,False
18,3362,50,248.58,4.97,0.9985,0.004,14,123,441,11,157,119,1406,3,867,221,anticlustering,mnist,50,5,False
19,986,50,78.73,1.57,0.9949,0.0178,21,205,69,22,52,191,50,84,235,57,anticlustering,mnist,50,5,False
20,1060,50,85.43,1.71,0.9943,0.0118,1,1,3,380,26,74,41,119,98,317,anticlustering,mnist,50,5,False
21,1791,50,136.23,2.72,0.9972,0.0065,134,38,84,820,120,1,9,223,276,86,anticlustering,mnist,50,5,False
22,1589,50,121.97,2.44,0.9987,0.0048,74,40,340,16,116,189,5,0,66,743,anticlustering,mnist,50,5,False
23,3859,50,283.39,5.67,0.9946,0.0117,11,130,724,584,858,0,380,977,179,16,anticlustering,mnist,50,5,False
24,1678,50,127.32,2.55,0.9934,0.0159,2,69,111,125,311,610,50,33,248,119,anticlustering,mnist,50,5,False
25,851,50,144.84,2.9,0.9965,0.0119,172,54,0,5,167,90,155,107,69,32,anticlustering,mnist,50,5,False
26,1872,50,140.25,2.81,0.9947,0.015,741,3,45,229,37,188,302,47,187,93,anticlustering,mnist,50,5,False
27,3742,50,271.52,5.43,0.9939,0.0128,5,1201,23,360,169,836,17,37,277,817,anticlustering,mnist,50,5,False
28,1534,50,120.85,2.42,0.998,0.0054,17,3,21,6,517,63,442,11,104,350,anticlustering,mnist,50,5,False
29,3716,50,282.74,5.65,0.9987,0.0038,1327,316,773,19,174,2,355,406,279,65,anticlustering,mnist,50,5,False
