client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,method,dataset,total_rounds,local_epochs,iid
0,1068,50,101.2,2.02,0.9972,0.0079,3,171,36,60,229,3,80,277,2,207,fedavg,mnist,50,5,False
1,796,50,62.71,1.25,0.9987,0.0087,40,33,138,2,60,26,215,49,4,229,fedavg,mnist,50,5,False
2,2801,50,200.82,4.02,0.9946,0.017,99,1025,290,410,336,94,86,58,75,328,fedavg,mnist,50,5,False
3,1696,50,105.34,2.11,0.9982,0.0037,190,757,46,7,480,11,1,190,7,7,fedavg,mnist,50,5,False
4,2106,50,153.27,3.07,0.9967,0.0114,75,322,22,102,1,9,296,412,361,506,fedavg,mnist,50,5,False
5,2845,50,203.5,4.07,0.9972,0.0094,523,7,1,824,92,2,25,1169,197,5,fedavg,mnist,50,5,False
6,1806,50,132.72,2.65,0.9956,0.013,182,98,123,22,492,40,275,65,327,182,fedavg,mnist,50,5,False
7,3013,50,218.37,4.37,0.9983,0.0079,467,5,29,502,743,173,221,74,681,118,fedavg,mnist,50,5,False
8,2983,50,214.7,4.29,0.9977,0.0095,539,261,320,640,150,287,220,188,372,6,fedavg,mnist,50,5,False
9,2284,50,165.58,3.31,0.9969,0.0056,432,267,968,28,1,1,10,98,441,38,fedavg,mnist,50,5,False
10,1705,50,128.72,2.57,0.9988,0.0036,88,278,183,519,3,99,58,322,101,54,fedavg,mnist,50,5,False
11,3442,50,242.54,4.85,0.9983,0.0032,150,916,698,8,27,1168,85,227,163,0,fedavg,mnist,50,5,False
12,2072,50,152.23,3.04,0.9942,0.012,25,97,131,68,144,415,341,468,7,376,fedavg,mnist,50,5,False
13,957,50,74.39,1.49,0.999,0.0054,170,205,37,16,37,90,168,60,23,151,fedavg,mnist,50,5,False
14,1802,50,134.21,2.68,0.9972,0.0092,1,45,0,274,55,259,448,20,21,679,fedavg,mnist,50,5,False
15,1332,50,98.86,1.98,0.9985,0.0046,391,51,108,1,109,273,57,200,128,14,fedavg,mnist,50,5,False
16,744,50,60.69,1.21,0.9933,0.0122,26,13,92,63,176,71,28,257,0,18,fedavg,mnist,50,5,False
17,508,50,42.95,0.86,0.9941,0.0093,3,8,102,8,3,37,92,84,56,115,fedavg,mnist,50,5,False
18,3362,50,235.87,4.72,0.997,0.0064,14,123,441,11,157,119,1406,3,867,221,fedavg,mnist,50,5,False
19,986,50,75.14,1.5,0.998,0.0081,21,205,69,22,52,191,50,84,235,57,fedavg,mnist,50,5,False
20,1060,50,83.97,1.68,0.9953,0.0114,1,1,3,380,26,74,41,119,98,317,fedavg,mnist,50,5,False
21,1791,50,127.77,2.56,0.9966,0.0109,134,38,84,820,120,1,9,223,276,86,fedavg,mnist,50,5,False
22,1589,50,114.41,2.29,0.9981,0.0029,74,40,340,16,116,189,5,0,66,743,fedavg,mnist,50,5,False
23,3859,50,266.03,5.32,0.9971,0.0088,11,130,724,584,858,0,380,977,179,16,fedavg,mnist,50,5,False
24,1678,50,121.09,2.42,0.9964,0.0103,2,69,111,125,311,610,50,33,248,119,fedavg,mnist,50,5,False
25,851,50,66.87,1.34,0.9941,0.0177,172,54,0,5,167,90,155,107,69,32,fedavg,mnist,50,5,False
26,1872,50,137.06,2.74,0.9963,0.0093,741,3,45,229,37,188,302,47,187,93,fedavg,mnist,50,5,False
27,3742,50,259.66,5.19,0.9963,0.012,5,1201,23,360,169,836,17,37,277,817,fedavg,mnist,50,5,False
28,1534,50,110.77,2.22,0.9961,0.0104,17,3,21,6,517,63,442,11,104,350,fedavg,mnist,50,5,False
29,3716,50,257.98,5.16,0.996,0.0109,1327,316,773,19,174,2,355,406,279,65,fedavg,mnist,50,5,False
