============================================================
FL COMPARISON RESULTS - ANTICLUSTERING
============================================================

Configuration:
  Dataset: mnist
  Method: anticlustering
  Clients: 30
  Rounds: 50
  Local Epochs: 5
  Batch Size: 32
  IID: False

Results:
  Final Accuracy: 0.9926
  Final Loss: 0.0257
  Total Time: 4267.16s
  Avg Time/Round: 85.34s

Round-by-Round Results:
------------------------------------------------------------
Round    Accuracy     Loss         Time(s)   
------------------------------------------------------------
1        0.8976       1.6982       139.08    
2        0.9603       0.1263       68.01     
3        0.9736       0.0789       65.03     
4        0.9785       0.0613       94.51     
5        0.9812       0.0521       94.96     
6        0.9837       0.0451       95.18     
7        0.9851       0.0421       96.55     
8        0.9861       0.0393       100.67    
9        0.9872       0.0378       101.57    
10       0.9878       0.0347       93.86     
11       0.9887       0.0326       74.72     
12       0.9889       0.0325       72.18     
13       0.9891       0.0319       70.50     
14       0.9899       0.0301       68.47     
15       0.9898       0.0300       65.52     
16       0.9898       0.0300       65.37     
17       0.9905       0.0290       67.95     
18       0.9905       0.0286       69.56     
19       0.9907       0.0287       70.99     
20       0.9914       0.0275       69.62     
21       0.9920       0.0270       72.31     
22       0.9911       0.0278       71.60     
23       0.9916       0.0281       72.62     
24       0.9920       0.0268       68.64     
25       0.9921       0.0266       80.20     
26       0.9919       0.0261       70.27     
27       0.9917       0.0261       69.99     
28       0.9922       0.0260       66.32     
29       0.9921       0.0265       73.47     
30       0.9927       0.0245       79.05     
31       0.9926       0.0241       94.73     
32       0.9922       0.0256       97.75     
33       0.9921       0.0260       85.42     
34       0.9928       0.0246       84.48     
35       0.9923       0.0255       88.96     
36       0.9924       0.0249       101.05    
37       0.9924       0.0254       95.22     
38       0.9927       0.0253       92.94     
39       0.9922       0.0262       98.66     
40       0.9927       0.0243       88.66     
41       0.9929       0.0246       90.66     
42       0.9932       0.0246       97.14     
43       0.9927       0.0242       100.58    
44       0.9931       0.0242       97.34     
45       0.9929       0.0247       95.79     
46       0.9933       0.0246       92.93     
47       0.9929       0.0246       83.43     
48       0.9924       0.0255       93.30     
49       0.9921       0.0260       97.94     
50       0.9926       0.0257       121.44    
============================================================
