============================================================
FL COMPARISON RESULTS - FEDAVG
============================================================

Configuration:
  Dataset: mnist
  Method: fedavg
  Clients: 30
  Rounds: 50
  Local Epochs: 5
  Batch Size: 32
  IID: False

Results:
  Final Accuracy: 0.9942
  Final Loss: 0.0213
  Total Time: 4452.59s
  Avg Time/Round: 89.05s

Round-by-Round Results:
------------------------------------------------------------
Round    Accuracy     Loss         Time(s)   
------------------------------------------------------------
1        0.9374       0.7475       202.95    
2        0.9709       0.0990       106.90    
3        0.9783       0.0652       103.96    
4        0.9823       0.0523       105.26    
5        0.9851       0.0446       99.52     
6        0.9868       0.0397       103.48    
7        0.9872       0.0367       106.87    
8        0.9882       0.0341       103.73    
9        0.9893       0.0323       92.42     
10       0.9898       0.0308       77.14     
11       0.9898       0.0291       77.74     
12       0.9903       0.0285       79.69     
13       0.9908       0.0280       79.71     
14       0.9912       0.0275       80.43     
15       0.9916       0.0260       75.18     
16       0.9917       0.0259       75.87     
17       0.9914       0.0263       78.03     
18       0.9913       0.0264       73.50     
19       0.9914       0.0262       78.27     
20       0.9917       0.0250       77.74     
21       0.9917       0.0249       81.87     
22       0.9921       0.0241       81.56     
23       0.9921       0.0241       80.11     
24       0.9925       0.0238       82.98     
25       0.9929       0.0225       80.95     
26       0.9930       0.0223       82.07     
27       0.9930       0.0234       79.06     
28       0.9932       0.0227       81.47     
29       0.9933       0.0220       81.91     
30       0.9930       0.0227       80.13     
31       0.9935       0.0226       83.00     
32       0.9936       0.0228       82.74     
33       0.9940       0.0224       79.00     
34       0.9940       0.0220       74.23     
35       0.9938       0.0223       81.50     
36       0.9935       0.0226       80.34     
37       0.9935       0.0226       81.64     
38       0.9938       0.0224       81.78     
39       0.9935       0.0219       80.62     
40       0.9940       0.0219       77.25     
41       0.9936       0.0227       79.19     
42       0.9941       0.0223       76.52     
43       0.9940       0.0223       75.99     
44       0.9942       0.0221       78.43     
45       0.9939       0.0222       80.61     
46       0.9935       0.0221       119.36    
47       0.9941       0.0215       118.71    
48       0.9939       0.0212       116.17    
49       0.9939       0.0216       117.17    
50       0.9942       0.0213       97.81     
============================================================
