Hierarchical Aggregation Results: CIFAR10
Method: hierarchical
Configuration: 50 clients
Data Distribution: False iid
Training: 5 local_epochs
Training: 100 rounds
Model: 64 batch_size
Timestamp: 2025-10-12T02:48:12.401210
============================================================

RÉSULTATS FINAUX:
------------------------------
Final Accuracy: 0.684300
Total Training Time: 5661.80s
Average Time per Round: 56.62s
Total Communication Cost: 12000
Convergence Rounds: 100

HISTORIQUE DÉTAILLÉ:
------------------------------
Round  1: Accuracy=0.100000, Time=479.26s, Comm=120
Round  2: Accuracy=0.100000, Time=52.18s, Comm=120
Round  3: Accuracy=0.100000, Time=52.08s, Comm=120
Round  4: Accuracy=0.100000, Time=52.08s, Comm=120
Round  5: Accuracy=0.100000, Time=52.10s, Comm=120
Round  6: Accuracy=0.100000, Time=52.22s, Comm=120
Round  7: Accuracy=0.106400, Time=52.30s, Comm=120
Round  8: Accuracy=0.166800, Time=52.20s, Comm=120
Round  9: Accuracy=0.283500, Time=52.52s, Comm=120
Round 10: Accuracy=0.343200, Time=52.08s, Comm=120
Round 11: Accuracy=0.416500, Time=52.21s, Comm=120
Round 12: Accuracy=0.465000, Time=52.14s, Comm=120
Round 13: Accuracy=0.477700, Time=52.18s, Comm=120
Round 14: Accuracy=0.514200, Time=52.37s, Comm=120
Round 15: Accuracy=0.510700, Time=52.39s, Comm=120
Round 16: Accuracy=0.543300, Time=52.33s, Comm=120
Round 17: Accuracy=0.548600, Time=52.38s, Comm=120
Round 18: Accuracy=0.581100, Time=52.24s, Comm=120
Round 19: Accuracy=0.579800, Time=52.41s, Comm=120
Round 20: Accuracy=0.597200, Time=52.35s, Comm=120
Round 21: Accuracy=0.592500, Time=52.29s, Comm=120
Round 22: Accuracy=0.600800, Time=52.22s, Comm=120
Round 23: Accuracy=0.605200, Time=52.31s, Comm=120
Round 24: Accuracy=0.614400, Time=52.32s, Comm=120
Round 25: Accuracy=0.633300, Time=52.30s, Comm=120
Round 26: Accuracy=0.622200, Time=52.25s, Comm=120
Round 27: Accuracy=0.632800, Time=52.32s, Comm=120
Round 28: Accuracy=0.634100, Time=52.24s, Comm=120
Round 29: Accuracy=0.630900, Time=52.33s, Comm=120
Round 30: Accuracy=0.636200, Time=52.51s, Comm=120
Round 31: Accuracy=0.640300, Time=52.43s, Comm=120
Round 32: Accuracy=0.639900, Time=52.28s, Comm=120
Round 33: Accuracy=0.645400, Time=52.42s, Comm=120
Round 34: Accuracy=0.640700, Time=52.39s, Comm=120
Round 35: Accuracy=0.652900, Time=52.37s, Comm=120
Round 36: Accuracy=0.655400, Time=52.41s, Comm=120
Round 37: Accuracy=0.657800, Time=52.40s, Comm=120
Round 38: Accuracy=0.656300, Time=52.43s, Comm=120
Round 39: Accuracy=0.663500, Time=52.42s, Comm=120
Round 40: Accuracy=0.656800, Time=52.41s, Comm=120
