client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,1000,100,107.08,1.07,0.942,0.5184,53,252,9,1,143,0,424,12,35,71,drop-in,cifar10,100,5,False
1,1000,300,293.51,0.98,0.981,0.1368,105,128,58,7,0,230,46,5,347,74,drop-in,cifar10,100,5,False
2,1000,100,102.83,1.03,0.919,0.8035,16,415,72,75,9,97,102,29,22,163,drop-in,cifar10,100,5,False
3,1000,200,200.51,1.0,0.967,0.2351,166,0,35,340,115,64,1,188,20,71,drop-in,cifar10,100,5,False
4,1000,100,103.24,1.03,0.967,0.2337,134,301,140,33,34,13,0,12,322,11,drop-in,cifar10,100,5,False
5,1000,100,103.79,1.04,0.938,0.532,405,9,93,7,228,27,82,133,16,0,drop-in,cifar10,100,5,False
6,1000,200,198.07,0.99,0.962,0.2489,423,124,17,116,22,93,63,128,8,6,drop-in,cifar10,100,5,False
7,1000,100,103.0,1.03,0.92,0.9781,9,12,208,540,1,29,112,63,3,23,drop-in,cifar10,100,5,False
8,1000,200,199.01,1.0,0.943,0.3927,87,68,0,1,702,17,16,4,24,81,drop-in,cifar10,100,5,False
9,1000,100,103.1,1.03,0.986,0.0801,129,9,70,65,19,301,25,363,1,18,drop-in,cifar10,100,5,False
10,1000,100,106.12,1.06,0.983,0.1402,0,117,41,143,387,10,93,26,164,19,drop-in,cifar10,100,5,False
11,1000,100,102.67,1.03,0.961,0.2889,384,237,145,78,2,8,41,87,0,18,drop-in,cifar10,100,5,False
12,1000,200,197.83,0.99,0.976,0.1087,1,6,426,1,294,167,0,40,13,52,drop-in,cifar10,100,5,False
13,1000,100,102.84,1.03,0.979,0.1589,7,70,2,22,66,13,78,38,368,336,drop-in,cifar10,100,5,False
14,1000,200,197.96,0.99,0.962,0.2592,180,20,31,306,207,199,34,1,0,22,drop-in,cifar10,100,5,False
15,1000,200,198.54,0.99,0.975,0.161,266,70,10,38,190,50,42,200,97,37,drop-in,cifar10,100,5,False
16,1000,200,197.39,0.99,0.966,0.3013,44,367,51,8,8,352,35,122,1,12,drop-in,cifar10,100,5,False
17,1000,200,198.02,0.99,0.968,0.1852,161,96,1,17,0,81,28,10,351,255,drop-in,cifar10,100,5,False
18,1000,200,198.66,0.99,0.966,0.2268,21,12,57,466,145,0,266,1,0,32,drop-in,cifar10,100,5,False
19,1000,100,103.27,1.03,0.97,0.2335,42,36,205,0,43,40,455,3,106,70,drop-in,cifar10,100,5,False
20,1000,200,198.42,0.99,0.967,0.2063,67,59,3,94,19,356,262,45,3,92,drop-in,cifar10,100,5,False
21,1000,100,103.07,1.03,0.962,0.2708,6,28,0,65,8,67,244,504,0,78,drop-in,cifar10,100,5,False
22,1000,100,103.1,1.03,0.946,0.4699,18,324,80,246,3,3,46,62,94,124,drop-in,cifar10,100,5,False
23,1000,100,102.77,1.03,0.934,0.5572,294,176,1,85,85,77,2,159,121,0,drop-in,cifar10,100,5,False
24,1000,100,103.0,1.03,0.977,0.1813,81,154,101,147,0,19,23,240,234,1,drop-in,cifar10,100,5,False
25,1000,100,103.06,1.03,0.933,0.7425,0,133,0,487,0,10,168,150,52,0,drop-in,cifar10,100,5,False
26,1000,100,103.09,1.03,0.927,0.8411,442,13,8,63,105,97,88,136,35,13,drop-in,cifar10,100,5,False
27,1000,100,103.08,1.03,0.941,0.4877,504,105,0,116,21,69,66,70,27,22,drop-in,cifar10,100,5,False
28,1000,100,102.92,1.03,0.976,0.1632,225,95,20,79,166,18,1,0,120,276,drop-in,cifar10,100,5,False
29,1000,300,293.9,0.98,0.965,0.2132,535,113,15,33,51,3,17,5,115,113,drop-in,cifar10,100,5,False
30,1000,200,198.84,0.99,0.937,0.429,27,29,662,0,28,3,38,86,66,61,drop-in,cifar10,100,5,False
31,1000,400,389.9,0.97,0.964,0.1971,64,1,0,160,440,85,55,50,143,2,drop-in,cifar10,100,5,False
32,1000,400,388.38,0.97,0.964,0.2444,104,347,78,51,74,16,177,10,108,35,drop-in,cifar10,100,5,False
33,1000,200,197.77,0.99,0.967,0.2382,0,23,78,209,239,31,30,33,141,216,drop-in,cifar10,100,5,False
34,1000,100,103.06,1.03,0.969,0.2984,0,32,97,49,29,60,141,86,189,317,drop-in,cifar10,100,5,False
35,1000,100,103.29,1.03,0.979,0.1366,0,245,149,90,77,38,57,8,309,27,drop-in,cifar10,100,5,False
36,1000,300,292.7,0.98,0.956,0.317,0,102,69,109,27,236,59,162,179,57,drop-in,cifar10,100,5,False
37,1000,100,104.55,1.05,0.962,0.3815,0,85,76,41,304,114,68,67,135,110,drop-in,cifar10,100,5,False
38,1000,100,103.24,1.03,0.973,0.195,0,87,216,4,11,39,86,495,50,12,drop-in,cifar10,100,5,False
39,1000,200,198.32,0.99,0.977,0.1471,0,2,8,175,10,13,406,242,139,5,drop-in,cifar10,100,5,False
40,1000,200,197.65,0.99,0.963,0.3526,0,35,19,114,39,46,34,103,13,597,drop-in,cifar10,100,5,False
41,1000,200,198.04,0.99,0.964,0.2521,0,45,83,182,182,97,58,57,204,92,drop-in,cifar10,100,5,False
42,1000,300,294.14,0.98,0.97,0.2486,0,6,140,28,295,25,245,3,91,167,drop-in,cifar10,100,5,False
43,1000,200,198.44,0.99,0.964,0.2414,0,91,111,20,13,152,197,287,43,86,drop-in,cifar10,100,5,False
44,1000,100,102.65,1.03,0.962,0.3257,0,30,204,17,15,104,169,23,246,192,drop-in,cifar10,100,5,False
45,1000,100,103.35,1.03,0.966,0.2504,0,125,92,24,130,95,131,65,245,93,drop-in,cifar10,100,5,False
46,1000,100,102.85,1.03,0.968,0.3416,0,48,62,48,14,495,43,75,0,215,drop-in,cifar10,100,5,False
47,1000,100,102.99,1.03,0.968,0.2599,0,20,280,0,0,236,60,160,0,244,drop-in,cifar10,100,5,False
48,1000,100,102.97,1.03,0.964,0.3339,0,98,285,0,0,257,86,68,0,206,drop-in,cifar10,100,5,False
49,1000,100,102.95,1.03,0.981,0.1199,0,0,392,0,0,348,0,84,0,176,drop-in,cifar10,100,5,False
