client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,1000,100,102.88,1.03,0.944,0.3502,53,252,9,1,143,0,424,12,35,71,hierarchical,cifar10,100,5,False
1,1000,100,102.99,1.03,0.953,0.2273,105,128,58,7,0,230,46,5,347,74,hierarchical,cifar10,100,5,False
2,1000,100,102.9,1.03,0.926,0.7403,16,415,72,75,9,97,102,29,22,163,hierarchical,cifar10,100,5,False
3,1000,100,106.46,1.06,0.79,0.9706,166,0,35,340,115,64,1,188,20,71,hierarchical,cifar10,100,5,False
4,1000,100,103.62,1.04,0.977,0.1508,134,301,140,33,34,13,0,12,322,11,hierarchical,cifar10,100,5,False
5,1000,100,103.7,1.04,0.942,0.4584,405,9,93,7,228,27,82,133,16,0,hierarchical,cifar10,100,5,False
6,1000,100,103.39,1.03,0.957,0.3388,423,124,17,116,22,93,63,128,8,6,hierarchical,cifar10,100,5,False
7,1000,100,103.31,1.03,0.926,0.7032,9,12,208,540,1,29,112,63,3,23,hierarchical,cifar10,100,5,False
8,1000,100,103.17,1.03,0.489,3.9463,87,68,0,1,702,17,16,4,24,81,hierarchical,cifar10,100,5,False
9,1000,100,103.15,1.03,0.981,0.1163,129,9,70,65,19,301,25,363,1,18,hierarchical,cifar10,100,5,False
10,1000,100,103.43,1.03,0.984,0.09,0,117,41,143,387,10,93,26,164,19,hierarchical,cifar10,100,5,False
11,1000,100,103.2,1.03,0.954,0.3018,384,237,145,78,2,8,41,87,0,18,hierarchical,cifar10,100,5,False
12,1000,100,102.79,1.03,0.961,0.2788,1,6,426,1,294,167,0,40,13,52,hierarchical,cifar10,100,5,False
13,1000,100,102.8,1.03,0.984,0.0777,7,70,2,22,66,13,78,38,368,336,hierarchical,cifar10,100,5,False
14,1000,100,102.69,1.03,0.942,0.4208,180,20,31,306,207,199,34,1,0,22,hierarchical,cifar10,100,5,False
15,1000,100,105.7,1.06,0.957,0.1968,266,70,10,38,190,50,42,200,97,37,hierarchical,cifar10,100,5,False
