client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,1000,100,108.91,1.09,0.071,nan,53,252,9,1,143,0,424,12,35,71,vanilla,cifar10,100,5,False
1,1000,100,103.03,1.03,0.074,nan,105,128,58,7,0,230,46,5,347,74,vanilla,cifar10,100,5,False
2,1000,100,103.22,1.03,0.163,nan,16,415,72,75,9,97,102,29,22,163,vanilla,cifar10,100,5,False
3,1000,100,102.81,1.03,0.071,nan,166,0,35,340,115,64,1,188,20,71,vanilla,cifar10,100,5,False
4,1000,100,105.12,1.05,0.011,nan,134,301,140,33,34,13,0,12,322,11,vanilla,cifar10,100,5,False
5,1000,100,102.9,1.03,0.0,nan,405,9,93,7,228,27,82,133,16,0,vanilla,cifar10,100,5,False
6,1000,100,102.91,1.03,0.006,nan,423,124,17,116,22,93,63,128,8,6,vanilla,cifar10,100,5,False
7,1000,100,102.97,1.03,0.023,nan,9,12,208,540,1,29,112,63,3,23,vanilla,cifar10,100,5,False
8,1000,100,102.89,1.03,0.081,nan,87,68,0,1,702,17,16,4,24,81,vanilla,cifar10,100,5,False
9,1000,100,102.85,1.03,0.018,nan,129,9,70,65,19,301,25,363,1,18,vanilla,cifar10,100,5,False
10,1000,100,102.8,1.03,0.019,nan,0,117,41,143,387,10,93,26,164,19,vanilla,cifar10,100,5,False
11,1000,100,102.63,1.03,0.018,nan,384,237,145,78,2,8,41,87,0,18,vanilla,cifar10,100,5,False
12,1000,100,103.25,1.03,0.052,nan,1,6,426,1,294,167,0,40,13,52,vanilla,cifar10,100,5,False
13,1000,100,102.73,1.03,0.336,nan,7,70,2,22,66,13,78,38,368,336,vanilla,cifar10,100,5,False
14,1000,100,102.34,1.02,0.022,nan,180,20,31,306,207,199,34,1,0,22,vanilla,cifar10,100,5,False
15,1000,100,102.29,1.02,0.037,nan,266,70,10,38,190,50,42,200,97,37,vanilla,cifar10,100,5,False
16,1000,100,102.91,1.03,0.012,nan,44,367,51,8,8,352,35,122,1,12,vanilla,cifar10,100,5,False
17,1000,100,102.3,1.02,0.255,nan,161,96,1,17,0,81,28,10,351,255,vanilla,cifar10,100,5,False
18,1000,100,102.02,1.02,0.032,nan,21,12,57,466,145,0,266,1,0,32,vanilla,cifar10,100,5,False
19,1000,100,102.37,1.02,0.07,nan,42,36,205,0,43,40,455,3,106,70,vanilla,cifar10,100,5,False
20,1000,100,102.37,1.02,0.092,nan,67,59,3,94,19,356,262,45,3,92,vanilla,cifar10,100,5,False
21,1000,100,102.27,1.02,0.078,nan,6,28,0,65,8,67,244,504,0,78,vanilla,cifar10,100,5,False
22,1000,100,102.38,1.02,0.124,nan,18,324,80,246,3,3,46,62,94,124,vanilla,cifar10,100,5,False
23,1000,100,102.28,1.02,0.0,nan,294,176,1,85,85,77,2,159,121,0,vanilla,cifar10,100,5,False
24,1000,100,102.42,1.02,0.001,nan,81,154,101,147,0,19,23,240,234,1,vanilla,cifar10,100,5,False
25,1000,100,102.2,1.02,0.0,nan,0,133,0,487,0,10,168,150,52,0,vanilla,cifar10,100,5,False
26,1000,100,103.28,1.03,0.013,nan,442,13,8,63,105,97,88,136,35,13,vanilla,cifar10,100,5,False
27,1000,100,102.27,1.02,0.022,nan,504,105,0,116,21,69,66,70,27,22,vanilla,cifar10,100,5,False
28,1000,100,102.08,1.02,0.276,nan,225,95,20,79,166,18,1,0,120,276,vanilla,cifar10,100,5,False
29,1000,100,102.04,1.02,0.113,nan,535,113,15,33,51,3,17,5,115,113,vanilla,cifar10,100,5,False
30,1000,100,102.15,1.02,0.061,nan,27,29,662,0,28,3,38,86,66,61,vanilla,cifar10,100,5,False
31,1000,100,102.45,1.02,0.002,nan,64,1,0,160,440,85,55,50,143,2,vanilla,cifar10,100,5,False
32,1000,100,102.15,1.02,0.035,nan,104,347,78,51,74,16,177,10,108,35,vanilla,cifar10,100,5,False
33,1000,100,102.06,1.02,0.216,nan,0,23,78,209,239,31,30,33,141,216,vanilla,cifar10,100,5,False
34,1000,100,103.48,1.03,0.317,nan,0,32,97,49,29,60,141,86,189,317,vanilla,cifar10,100,5,False
35,1000,100,102.39,1.02,0.027,nan,0,245,149,90,77,38,57,8,309,27,vanilla,cifar10,100,5,False
36,1000,100,102.11,1.02,0.057,nan,0,102,69,109,27,236,59,162,179,57,vanilla,cifar10,100,5,False
37,1000,100,101.99,1.02,0.11,nan,0,85,76,41,304,114,68,67,135,110,vanilla,cifar10,100,5,False
38,1000,100,101.94,1.02,0.012,nan,0,87,216,4,11,39,86,495,50,12,vanilla,cifar10,100,5,False
39,1000,100,102.12,1.02,0.005,nan,0,2,8,175,10,13,406,242,139,5,vanilla,cifar10,100,5,False
40,1000,100,102.01,1.02,0.597,nan,0,35,19,114,39,46,34,103,13,597,vanilla,cifar10,100,5,False
41,1000,100,102.09,1.02,0.092,nan,0,45,83,182,182,97,58,57,204,92,vanilla,cifar10,100,5,False
42,1000,100,104.12,1.04,0.167,nan,0,6,140,28,295,25,245,3,91,167,vanilla,cifar10,100,5,False
43,1000,100,102.3,1.02,0.086,nan,0,91,111,20,13,152,197,287,43,86,vanilla,cifar10,100,5,False
44,1000,100,102.35,1.02,0.192,nan,0,30,204,17,15,104,169,23,246,192,vanilla,cifar10,100,5,False
45,1000,100,102.07,1.02,0.093,nan,0,125,92,24,130,95,131,65,245,93,vanilla,cifar10,100,5,False
46,1000,100,102.34,1.02,0.215,nan,0,48,62,48,14,495,43,75,0,215,vanilla,cifar10,100,5,False
47,1000,100,102.01,1.02,0.244,nan,0,20,280,0,0,236,60,160,0,244,vanilla,cifar10,100,5,False
48,1000,100,101.84,1.02,0.206,nan,0,98,285,0,0,257,86,68,0,206,vanilla,cifar10,100,5,False
49,1000,100,102.22,1.02,0.176,nan,0,0,392,0,0,348,0,84,0,176,vanilla,cifar10,100,5,False
