Hierarchical Aggregation Results: CIFAR10
Method: agglomerative
Configuration: 50 clients
client_selection_ratio: 60%
Data Distribution: False iid
Training: 5 local_epochs
Training: 100 rounds
Model: 64 batch_size
Timestamp: 2025-10-12T14:46:39.905154
============================================================

RÉSULTATS FINAUX:
------------------------------
Final Accuracy: 0.596900
Total Training Time: 3331.55s
Average Time per Round: 33.32s
Total Communication Cost: 7000
Convergence Rounds: 100

HISTORIQUE DÉTAILLÉ:
------------------------------
Round  1: Accuracy=0.100000, Time=272.97s, Comm=70
Round  2: Accuracy=0.100000, Time=30.56s, Comm=70
Round  3: Accuracy=0.100000, Time=30.47s, Comm=70
Round  4: Accuracy=0.128700, Time=30.64s, Comm=70
Round  5: Accuracy=0.100000, Time=30.63s, Comm=70
Round  6: Accuracy=0.104900, Time=30.69s, Comm=70
Round  7: Accuracy=0.188600, Time=30.49s, Comm=70
Round  8: Accuracy=0.174500, Time=30.76s, Comm=70
Round  9: Accuracy=0.296300, Time=30.67s, Comm=70
Round 10: Accuracy=0.322800, Time=30.75s, Comm=70
Round 11: Accuracy=0.358300, Time=30.83s, Comm=70
Round 12: Accuracy=0.407400, Time=30.75s, Comm=70
Round 13: Accuracy=0.445600, Time=30.69s, Comm=70
Round 14: Accuracy=0.446400, Time=30.71s, Comm=70
Round 15: Accuracy=0.489700, Time=30.76s, Comm=70
Round 16: Accuracy=0.457100, Time=30.89s, Comm=70
Round 17: Accuracy=0.509800, Time=30.68s, Comm=70
Round 18: Accuracy=0.474000, Time=30.76s, Comm=70
Round 19: Accuracy=0.515000, Time=30.78s, Comm=70
Round 20: Accuracy=0.493500, Time=30.88s, Comm=70
Round 21: Accuracy=0.497000, Time=30.56s, Comm=70
Round 22: Accuracy=0.531400, Time=30.73s, Comm=70
Round 23: Accuracy=0.537700, Time=30.62s, Comm=70
Round 24: Accuracy=0.542600, Time=30.79s, Comm=70
Round 25: Accuracy=0.523800, Time=30.97s, Comm=70
Round 26: Accuracy=0.545300, Time=30.79s, Comm=70
Round 27: Accuracy=0.545400, Time=30.80s, Comm=70
Round 28: Accuracy=0.546500, Time=30.79s, Comm=70
Round 29: Accuracy=0.566300, Time=30.71s, Comm=70
Round 30: Accuracy=0.553700, Time=31.04s, Comm=70
Round 31: Accuracy=0.555000, Time=30.77s, Comm=70
