client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,1000,100,107.32,1.07,0.952,0.3464,53,252,9,1,143,0,424,12,35,71,agglomerative,cifar10,100,5,False
1,1000,100,103.67,1.04,0.973,0.171,105,128,58,7,0,230,46,5,347,74,agglomerative,cifar10,100,5,False
2,1000,100,103.43,1.03,0.929,0.7474,16,415,72,75,9,97,102,29,22,163,agglomerative,cifar10,100,5,False
3,1000,100,104.19,1.04,0.965,0.2325,166,0,35,340,115,64,1,188,20,71,agglomerative,cifar10,100,5,False
4,1000,100,103.69,1.04,0.972,0.2015,134,301,140,33,34,13,0,12,322,11,agglomerative,cifar10,100,5,False
5,1000,100,103.41,1.03,0.954,0.4264,405,9,93,7,228,27,82,133,16,0,agglomerative,cifar10,100,5,False
6,1000,100,103.82,1.04,0.966,0.2707,423,124,17,116,22,93,63,128,8,6,agglomerative,cifar10,100,5,False
7,1000,100,103.71,1.04,0.956,0.3582,9,12,208,540,1,29,112,63,3,23,agglomerative,cifar10,100,5,False
8,1000,100,103.52,1.04,0.921,0.7008,87,68,0,1,702,17,16,4,24,81,agglomerative,cifar10,100,5,False
9,1000,100,103.7,1.04,0.98,0.121,129,9,70,65,19,301,25,363,1,18,agglomerative,cifar10,100,5,False
10,1000,100,105.53,1.06,0.98,0.1485,0,117,41,143,387,10,93,26,164,19,agglomerative,cifar10,100,5,False
11,1000,100,103.87,1.04,0.967,0.2332,384,237,145,78,2,8,41,87,0,18,agglomerative,cifar10,100,5,False
12,1000,100,103.53,1.04,0.967,0.193,1,6,426,1,294,167,0,40,13,52,agglomerative,cifar10,100,5,False
13,1000,100,103.15,1.03,0.987,0.1144,7,70,2,22,66,13,78,38,368,336,agglomerative,cifar10,100,5,False
14,1000,100,104.74,1.05,0.959,0.2713,180,20,31,306,207,199,34,1,0,22,agglomerative,cifar10,100,5,False
15,1000,100,103.33,1.03,0.969,0.1858,266,70,10,38,190,50,42,200,97,37,agglomerative,cifar10,100,5,False
16,1000,100,103.31,1.03,0.967,0.334,44,367,51,8,8,352,35,122,1,12,agglomerative,cifar10,100,5,False
17,1000,100,103.85,1.04,0.969,0.2161,161,96,1,17,0,81,28,10,351,255,agglomerative,cifar10,100,5,False
18,1000,100,103.43,1.03,0.972,0.2112,21,12,57,466,145,0,266,1,0,32,agglomerative,cifar10,100,5,False
19,1000,100,103.4,1.03,0.965,0.2663,42,36,205,0,43,40,455,3,106,70,agglomerative,cifar10,100,5,False
20,1000,100,103.26,1.03,0.962,0.3201,67,59,3,94,19,356,262,45,3,92,agglomerative,cifar10,100,5,False
21,1000,100,103.34,1.03,0.955,0.3443,6,28,0,65,8,67,244,504,0,78,agglomerative,cifar10,100,5,False
22,1000,100,103.91,1.04,0.953,0.3383,18,324,80,246,3,3,46,62,94,124,agglomerative,cifar10,100,5,False
23,1000,100,103.47,1.03,0.965,0.2788,294,176,1,85,85,77,2,159,121,0,agglomerative,cifar10,100,5,False
24,1000,100,103.58,1.04,0.98,0.1114,81,154,101,147,0,19,23,240,234,1,agglomerative,cifar10,100,5,False
25,1000,100,104.99,1.05,0.959,0.3592,0,133,0,487,0,10,168,150,52,0,agglomerative,cifar10,100,5,False
26,1000,100,103.45,1.03,0.946,0.4967,442,13,8,63,105,97,88,136,35,13,agglomerative,cifar10,100,5,False
27,1000,100,103.33,1.03,0.949,0.3597,504,105,0,116,21,69,66,70,27,22,agglomerative,cifar10,100,5,False
