client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,2500,10,55.62,5.56,0.8368,0.9306,134,631,23,3,359,0,1053,31,88,178,agglomerative,cifar10,10,5,False
1,2500,10,41.37,4.14,0.8476,0.8816,263,321,145,18,2,575,115,12,864,185,agglomerative,cifar10,10,5,False
2,2500,10,41.25,4.13,0.7668,0.6885,7,68,635,613,178,107,408,25,423,36,agglomerative,cifar10,10,5,False
3,2500,10,39.2,3.92,0.8964,0.3358,71,144,265,135,238,91,158,1384,9,5,agglomerative,cifar10,10,5,False
4,2500,0,0.0,0.0,0.0,0.0,729,26,105,45,98,181,957,43,144,172,agglomerative,cifar10,10,5,False
5,2500,10,39.18,3.92,0.7548,0.9593,3,47,333,34,850,113,798,129,193,0,agglomerative,cifar10,10,5,False
6,2500,0,0.0,0.0,0.0,0.0,270,869,1,37,17,254,222,700,94,36,agglomerative,cifar10,10,5,False
7,2500,0,0.0,0.0,0.0,0.0,701,570,438,0,45,552,25,117,0,52,agglomerative,cifar10,10,5,False
8,2500,0,0.0,0.0,0.0,0.0,63,4,372,100,124,263,790,685,2,97,agglomerative,cifar10,10,5,False
9,2500,0,0.0,0.0,0.0,0.0,78,413,333,453,531,10,2,108,441,131,agglomerative,cifar10,10,5,False
10,2500,0,0.0,0.0,0.0,0.0,975,82,10,65,398,183,128,285,2,372,agglomerative,cifar10,10,5,False
11,2500,0,0.0,0.0,0.0,0.0,1081,453,138,1,83,35,303,29,85,292,agglomerative,cifar10,10,5,False
12,2500,10,40.24,4.02,0.8652,0.9413,32,33,116,1608,3,5,9,458,63,173,agglomerative,cifar10,10,5,False
13,2500,0,0.0,0.0,0.0,0.0,19,344,177,85,0,379,78,1085,317,16,agglomerative,cifar10,10,5,False
14,2500,10,39.88,3.99,0.8044,0.9038,154,12,15,239,1045,713,8,186,115,13,agglomerative,cifar10,10,5,False
15,2500,0,0.0,0.0,0.0,0.0,204,9,125,413,132,122,1141,341,5,8,agglomerative,cifar10,10,5,False
16,2500,0,0.0,0.0,0.0,0.0,247,137,251,599,20,0,62,992,149,43,agglomerative,cifar10,10,5,False
17,2500,0,0.0,0.0,0.0,0.0,2,0,601,360,1319,38,67,11,23,79,agglomerative,cifar10,10,5,False
18,2500,0,0.0,0.0,0.0,0.0,258,104,126,17,729,261,121,16,271,597,agglomerative,cifar10,10,5,False
19,2500,0,0.0,0.0,0.0,0.0,95,95,525,318,2,102,355,8,70,930,agglomerative,cifar10,10,5,False
