client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,1200,10,16.66,1.67,0.8867,0.5436,64,302,11,1,172,0,508,15,42,85,agglomerative,mnist,10,1,False
1,1200,10,5.71,0.57,0.9342,0.1883,460,313,60,15,9,2,203,82,10,46,agglomerative,mnist,10,1,False
2,1200,10,5.82,0.58,0.9358,0.2034,198,4,43,0,3,60,118,0,751,23,agglomerative,mnist,10,1,False
3,1200,10,6.29,0.63,0.8867,0.3957,45,210,313,0,1,183,33,74,272,69,agglomerative,mnist,10,1,False
4,1200,10,5.61,0.56,0.9283,0.2072,1,8,357,62,7,37,311,2,415,0,agglomerative,mnist,10,1,False
5,1200,10,6.58,0.66,0.9175,0.279,0,408,62,180,23,65,13,97,141,211,agglomerative,mnist,10,1,False
6,1200,10,5.8,0.58,0.9325,0.2493,22,235,2,8,1,107,21,399,203,202,agglomerative,mnist,10,1,False
7,1200,0,0.0,0.0,0.0,0.0,416,116,69,279,45,31,20,50,72,102,agglomerative,mnist,10,1,False
8,1200,10,5.81,0.58,0.9225,0.2582,35,71,2,501,50,59,163,30,31,258,agglomerative,mnist,10,1,False
9,1200,10,6.95,0.69,0.9367,0.2026,82,0,22,186,9,55,142,4,1,699,agglomerative,mnist,10,1,False
10,1200,10,7.27,0.73,0.8925,0.3383,80,142,252,5,215,367,97,14,2,26,agglomerative,mnist,10,1,False
11,1200,10,5.81,0.58,0.9083,0.3257,58,193,26,84,141,0,51,119,127,401,agglomerative,mnist,10,1,False
12,1200,0,0.0,0.0,0.0,0.0,8,439,49,31,0,62,463,117,28,3,agglomerative,mnist,10,1,False
13,1200,0,0.0,0.0,0.0,0.0,2,828,11,86,80,1,0,20,42,130,agglomerative,mnist,10,1,False
14,1200,0,0.0,0.0,0.0,0.0,134,62,70,159,163,90,0,41,51,430,agglomerative,mnist,10,1,False
15,1200,10,5.57,0.56,0.8892,0.411,168,55,231,30,1,366,23,254,6,66,agglomerative,mnist,10,1,False
16,1200,0,0.0,0.0,0.0,0.0,36,7,0,0,33,29,18,243,491,343,agglomerative,mnist,10,1,False
17,1200,0,0.0,0.0,0.0,0.0,40,14,73,541,4,40,166,219,37,66,agglomerative,mnist,10,1,False
18,1200,0,0.0,0.0,0.0,0.0,17,332,473,229,6,83,55,4,0,1,agglomerative,mnist,10,1,False
19,1200,0,0.0,0.0,0.0,0.0,128,13,70,12,74,326,89,70,366,52,agglomerative,mnist,10,1,False
20,1200,0,0.0,0.0,0.0,0.0,19,55,0,94,18,73,17,4,234,686,agglomerative,mnist,10,1,False
21,1200,10,5.7,0.57,0.9125,0.2784,52,1,122,78,450,30,40,366,59,2,agglomerative,mnist,10,1,False
22,1200,0,0.0,0.0,0.0,0.0,48,65,3,31,265,0,235,21,456,76,agglomerative,mnist,10,1,False
23,1200,0,0.0,0.0,0.0,0.0,659,82,5,71,18,5,65,272,23,0,agglomerative,mnist,10,1,False
24,1200,0,0.0,0.0,0.0,0.0,135,17,146,44,20,171,126,439,53,49,agglomerative,mnist,10,1,False
25,1200,0,0.0,0.0,0.0,0.0,272,422,41,0,1,18,231,88,126,1,agglomerative,mnist,10,1,False
26,1200,0,0.0,0.0,0.0,0.0,184,356,21,177,336,42,46,20,6,12,agglomerative,mnist,10,1,False
27,1200,0,0.0,0.0,0.0,0.0,99,293,89,474,6,5,107,116,0,11,agglomerative,mnist,10,1,False
28,1200,0,0.0,0.0,0.0,0.0,0,117,26,239,197,0,63,42,23,493,agglomerative,mnist,10,1,False
29,1200,0,0.0,0.0,0.0,0.0,86,251,0,6,15,407,79,189,41,126,agglomerative,mnist,10,1,False
30,1200,0,0.0,0.0,0.0,0.0,111,380,31,54,4,4,141,467,8,0,agglomerative,mnist,10,1,False
31,1200,0,0.0,0.0,0.0,0.0,38,48,22,0,2,4,86,70,0,930,agglomerative,mnist,10,1,False
32,1200,0,0.0,0.0,0.0,0.0,414,179,78,3,6,136,73,5,273,33,agglomerative,mnist,10,1,False
33,1200,0,0.0,0.0,0.0,0.0,150,8,34,104,13,402,144,79,48,218,agglomerative,mnist,10,1,False
34,1200,0,0.0,0.0,0.0,0.0,57,1,15,374,0,10,41,148,57,497,agglomerative,mnist,10,1,False
35,1200,10,6.1,0.61,0.8758,0.4065,21,5,159,1,28,217,652,1,0,116,agglomerative,mnist,10,1,False
36,1200,0,0.0,0.0,0.0,0.0,8,28,29,385,40,39,50,12,513,96,agglomerative,mnist,10,1,False
37,1200,0,0.0,0.0,0.0,0.0,83,14,207,70,111,8,94,23,192,398,agglomerative,mnist,10,1,False
38,1200,0,0.0,0.0,0.0,0.0,102,65,269,138,109,102,91,3,93,228,agglomerative,mnist,10,1,False
39,1200,0,0.0,0.0,0.0,0.0,102,5,198,0,53,191,104,235,27,285,agglomerative,mnist,10,1,False
40,1200,0,0.0,0.0,0.0,0.0,40,183,99,22,194,181,182,169,65,65,agglomerative,mnist,10,1,False
41,1200,0,0.0,0.0,0.0,0.0,191,3,52,252,485,0,64,114,38,1,agglomerative,mnist,10,1,False
42,1200,0,0.0,0.0,0.0,0.0,34,242,72,134,8,82,17,48,224,339,agglomerative,mnist,10,1,False
43,1200,0,0.0,0.0,0.0,0.0,0,12,55,10,43,416,29,368,241,26,agglomerative,mnist,10,1,False
44,1200,0,0.0,0.0,0.0,0.0,26,38,9,23,626,135,0,12,158,173,agglomerative,mnist,10,1,False
45,1200,0,0.0,0.0,0.0,0.0,4,71,22,76,97,30,74,23,803,0,agglomerative,mnist,10,1,False
46,1200,0,0.0,0.0,0.0,0.0,3,294,43,46,0,41,8,381,46,338,agglomerative,mnist,10,1,False
47,1200,0,0.0,0.0,0.0,0.0,391,101,199,1,287,47,14,2,145,13,agglomerative,mnist,10,1,False
48,1200,0,0.0,0.0,0.0,0.0,85,65,1,40,231,22,156,367,231,2,agglomerative,mnist,10,1,False
49,1200,0,0.0,0.0,0.0,0.0,32,14,1,4,258,9,23,6,48,805,agglomerative,mnist,10,1,False
