client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,1200,10,24.85,2.49,0.925,0.3545,64,302,11,1,172,0,508,15,42,85,cyclic-agglomerative,mnist,10,5,False
1,1200,10,12.37,1.24,0.9833,0.0679,460,313,60,15,9,2,203,82,10,46,cyclic-agglomerative,mnist,10,5,False
2,1200,10,13.14,1.31,0.9992,0.0045,31,86,134,107,0,117,17,89,203,416,cyclic-agglomerative,mnist,10,5,False
3,1200,10,12.8,1.28,0.995,0.0226,59,16,67,99,194,46,0,92,244,383,cyclic-agglomerative,mnist,10,5,False
4,1200,10,12.46,1.25,0.9933,0.0211,13,18,16,25,383,403,147,49,145,1,cyclic-agglomerative,mnist,10,5,False
5,1200,10,12.42,1.24,0.9842,0.1153,2,3,63,11,180,22,1,288,611,19,cyclic-agglomerative,mnist,10,5,False
6,1200,0,0.0,0.0,0.0,0.0,328,22,87,130,54,8,8,22,246,295,cyclic-agglomerative,mnist,10,5,False
7,1200,10,13.38,1.34,0.9917,0.0296,87,459,208,103,72,29,9,52,0,181,cyclic-agglomerative,mnist,10,5,False
8,1200,0,0.0,0.0,0.0,0.0,3,2,145,28,128,126,574,96,24,74,cyclic-agglomerative,mnist,10,5,False
9,1200,10,12.34,1.23,0.9917,0.0373,95,0,3,97,112,311,7,433,2,140,cyclic-agglomerative,mnist,10,5,False
10,1200,10,12.65,1.26,0.9942,0.0267,0,333,55,6,4,12,70,445,268,7,cyclic-agglomerative,mnist,10,5,False
11,1200,10,13.24,1.32,0.9425,0.2287,5,294,67,160,40,447,23,51,103,10,cyclic-agglomerative,mnist,10,5,False
12,1200,10,12.65,1.27,0.955,0.2335,4,53,187,253,65,33,25,223,303,54,cyclic-agglomerative,mnist,10,5,False
13,1200,0,0.0,0.0,0.0,0.0,117,71,12,0,126,150,27,469,132,96,cyclic-agglomerative,mnist,10,5,False
14,1200,0,0.0,0.0,0.0,0.0,181,48,6,279,49,46,5,37,512,37,cyclic-agglomerative,mnist,10,5,False
15,1200,0,0.0,0.0,0.0,0.0,16,9,0,113,1,137,38,74,55,757,cyclic-agglomerative,mnist,10,5,False
16,1200,0,0.0,0.0,0.0,0.0,56,25,123,0,46,195,338,410,2,5,cyclic-agglomerative,mnist,10,5,False
17,1200,0,0.0,0.0,0.0,0.0,4,374,179,6,3,83,20,259,128,144,cyclic-agglomerative,mnist,10,5,False
18,1200,0,0.0,0.0,0.0,0.0,180,46,27,2,28,19,3,30,250,615,cyclic-agglomerative,mnist,10,5,False
