client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,1500,4,9.38,2.35,0.918,0.3674,80,378,13,1,215,0,635,18,53,107,drop-in,mnist,4,5,False
1,1500,4,9.36,2.34,0.948,0.1646,575,391,75,19,11,3,254,102,13,57,drop-in,mnist,4,5,False
2,1500,8,16.96,2.12,0.9767,0.0918,248,5,53,0,4,75,148,0,938,29,drop-in,mnist,4,5,False
3,1500,8,19.33,2.42,0.938,0.2976,56,263,390,0,1,229,42,92,340,87,drop-in,mnist,4,5,False
4,1500,4,10.83,2.71,0.9947,0.0219,1,10,447,78,9,47,388,2,518,0,drop-in,mnist,4,5,False
5,1500,4,10.54,2.64,0.9827,0.0661,0,510,77,225,29,82,16,121,176,264,drop-in,mnist,4,5,False
6,1500,16,38.09,2.38,0.988,0.0416,28,294,3,10,1,134,26,497,254,253,drop-in,mnist,4,5,False
7,1500,4,9.75,2.44,0.908,0.4404,520,145,87,349,56,39,25,62,90,127,drop-in,mnist,4,5,False
8,1500,4,9.37,2.34,0.9887,0.0424,44,89,3,626,62,74,203,38,39,322,drop-in,mnist,4,5,False
9,1500,4,9.69,2.42,0.994,0.0337,103,0,27,233,11,69,178,5,1,873,drop-in,mnist,4,5,False
10,1500,4,10.16,2.54,0.96,0.2286,100,177,316,6,269,458,122,17,2,33,drop-in,mnist,4,5,False
11,1500,8,21.03,2.63,0.976,0.0827,73,241,32,105,176,0,63,149,158,503,drop-in,mnist,4,5,False
12,1500,8,18.66,2.33,0.9767,0.096,10,549,62,39,0,77,576,147,36,4,drop-in,mnist,4,5,False
13,1500,4,9.65,2.41,0.9793,0.0703,3,1034,13,107,101,1,0,25,53,163,drop-in,mnist,4,5,False
14,1500,4,9.5,2.37,0.986,0.0526,168,78,88,199,204,113,0,51,64,535,drop-in,mnist,4,5,False
15,1500,4,9.41,2.35,0.9347,0.3069,210,69,289,38,2,457,28,317,8,82,drop-in,mnist,4,5,False
16,1500,4,11.17,2.79,0.99,0.0522,45,8,0,1,42,36,23,303,613,429,drop-in,mnist,4,5,False
17,1500,8,18.62,2.33,0.9693,0.0945,453,66,26,3,127,94,3,38,520,170,drop-in,mnist,4,5,False
18,1500,4,10.54,2.63,0.9847,0.0679,129,83,46,16,4,737,10,33,50,392,drop-in,mnist,4,5,False
19,1500,4,9.67,2.42,0.9233,0.3508,50,41,496,34,0,309,63,130,265,112,drop-in,mnist,4,5,False
20,1500,4,10.71,2.68,0.992,0.0395,32,257,1,96,13,263,385,1,117,335,drop-in,mnist,4,5,False
21,1500,4,9.25,2.31,0.9407,0.2353,806,139,40,86,100,143,37,68,56,25,drop-in,mnist,4,5,False
22,1500,4,9.54,2.38,0.99,0.0453,209,375,14,83,70,11,419,1,315,3,drop-in,mnist,4,5,False
23,1500,4,12.09,3.02,0.976,0.0962,525,1,243,5,21,126,4,43,357,175,drop-in,mnist,4,5,False
24,1500,4,10.57,2.64,0.9707,0.1239,88,2,916,209,9,63,149,20,44,0,drop-in,mnist,4,5,False
25,1500,12,26.46,2.21,0.9293,0.2344,18,670,343,98,1,159,91,19,4,97,drop-in,mnist,4,5,False
26,1500,4,10.95,2.74,0.9247,0.3447,417,212,110,37,59,114,304,129,27,91,drop-in,mnist,4,5,False
27,1500,4,9.86,2.46,0.9913,0.0416,235,5,128,375,325,167,16,10,235,4,drop-in,mnist,4,5,False
28,1500,8,18.48,2.31,0.9873,0.0496,83,16,462,478,20,127,65,36,213,0,drop-in,mnist,4,5,False
29,1500,8,17.39,2.17,0.9787,0.0839,30,320,469,92,2,234,295,26,10,22,drop-in,mnist,4,5,False
30,1500,8,18.68,2.34,0.9733,0.1065,105,2,78,44,38,0,1049,157,0,27,drop-in,mnist,4,5,False
31,1500,4,9.91,2.48,0.9333,0.4875,24,6,70,0,695,251,356,7,0,91,drop-in,mnist,4,5,False
32,1500,4,10.14,2.53,0.9847,0.0542,252,18,0,80,502,50,137,180,112,169,drop-in,mnist,4,5,False
33,1500,4,10.83,2.71,0.942,0.269,3,277,180,6,436,36,372,57,105,28,drop-in,mnist,4,5,False
34,1500,4,11.61,2.9,0.994,0.0253,310,5,0,18,19,440,57,44,7,600,drop-in,mnist,4,5,False
35,1500,4,9.59,2.4,0.962,0.1998,71,128,58,229,172,519,64,213,7,39,drop-in,mnist,4,5,False
36,1500,4,10.39,2.6,0.94,0.2609,145,158,4,26,395,639,59,33,5,36,drop-in,mnist,4,5,False
37,1500,4,11.6,2.9,0.9793,0.1384,1,9,275,36,260,162,0,733,6,18,drop-in,mnist,4,5,False
38,1500,12,27.02,2.25,0.9867,0.0515,171,83,29,274,6,14,32,372,514,5,drop-in,mnist,4,5,False
39,1500,4,10.4,2.6,0.9687,0.1469,363,116,135,0,7,26,346,460,11,36,drop-in,mnist,4,5,False
