client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,1500,4,9.66,2.42,0.914,0.3091,80,378,13,1,215,0,635,18,53,107,hierarchical,mnist,4,5,False
1,1500,4,9.5,2.38,0.9487,0.17,575,391,75,19,11,3,254,102,13,57,hierarchical,mnist,4,5,False
2,1500,4,11.41,2.85,0.9787,0.0869,248,5,53,0,4,75,148,0,938,29,hierarchical,mnist,4,5,False
3,1500,4,9.89,2.47,0.9327,0.2798,56,263,390,0,1,229,42,92,340,87,hierarchical,mnist,4,5,False
4,1500,4,9.88,2.47,0.9933,0.0249,1,10,447,78,9,47,388,2,518,0,hierarchical,mnist,4,5,False
5,1500,4,9.73,2.43,0.9813,0.0803,0,510,77,225,29,82,16,121,176,264,hierarchical,mnist,4,5,False
6,1500,4,9.76,2.44,0.986,0.0494,28,294,3,10,1,134,26,497,254,253,hierarchical,mnist,4,5,False
7,1500,4,10.93,2.73,0.9027,0.4509,520,145,87,349,56,39,25,62,90,127,hierarchical,mnist,4,5,False
8,1500,4,11.17,2.79,0.9887,0.0418,44,89,3,626,62,74,203,38,39,322,hierarchical,mnist,4,5,False
9,1500,4,10.66,2.67,0.9933,0.038,103,0,27,233,11,69,178,5,1,873,hierarchical,mnist,4,5,False
10,1500,4,9.71,2.43,0.962,0.2165,100,177,316,6,269,458,122,17,2,33,hierarchical,mnist,4,5,False
11,1500,4,10.91,2.73,0.9787,0.0728,73,241,32,105,176,0,63,149,158,503,hierarchical,mnist,4,5,False
12,1500,4,9.65,2.41,0.9747,0.0958,10,549,62,39,0,77,576,147,36,4,hierarchical,mnist,4,5,False
13,1500,4,9.54,2.39,0.972,0.0905,3,1034,13,107,101,1,0,25,53,163,hierarchical,mnist,4,5,False
14,1500,4,9.05,2.26,0.986,0.0539,168,78,88,199,204,113,0,51,64,535,hierarchical,mnist,4,5,False
15,1500,4,10.49,2.62,0.9373,0.229,210,69,289,38,2,457,28,317,8,82,hierarchical,mnist,4,5,False
16,1500,4,9.11,2.28,0.986,0.0646,45,8,0,1,42,36,23,303,613,429,hierarchical,mnist,4,5,False
17,1500,4,9.12,2.28,0.956,0.1276,453,66,26,3,127,94,3,38,520,170,hierarchical,mnist,4,5,False
18,1500,4,12.41,3.1,0.9833,0.0626,129,83,46,16,4,737,10,33,50,392,hierarchical,mnist,4,5,False
19,1500,4,9.11,2.28,0.9213,0.3765,50,41,496,34,0,309,63,130,265,112,hierarchical,mnist,4,5,False
20,1500,4,9.76,2.44,0.9873,0.0453,32,257,1,96,13,263,385,1,117,335,hierarchical,mnist,4,5,False
21,1500,4,9.49,2.37,0.9407,0.2245,806,139,40,86,100,143,37,68,56,25,hierarchical,mnist,4,5,False
22,1500,4,9.9,2.47,0.9887,0.046,209,375,14,83,70,11,419,1,315,3,hierarchical,mnist,4,5,False
23,1500,4,10.52,2.63,0.972,0.1091,525,1,243,5,21,126,4,43,357,175,hierarchical,mnist,4,5,False
24,1500,4,9.4,2.35,0.9647,0.1435,88,2,916,209,9,63,149,20,44,0,hierarchical,mnist,4,5,False
25,1500,4,9.3,2.33,0.93,0.2447,18,670,343,98,1,159,91,19,4,97,hierarchical,mnist,4,5,False
26,1500,4,9.59,2.4,0.922,0.3338,417,212,110,37,59,114,304,129,27,91,hierarchical,mnist,4,5,False
27,1500,4,9.28,2.32,0.988,0.0501,235,5,128,375,325,167,16,10,235,4,hierarchical,mnist,4,5,False
28,1500,4,9.16,2.29,0.9887,0.0451,83,16,462,478,20,127,65,36,213,0,hierarchical,mnist,4,5,False
29,1500,4,10.01,2.5,0.9753,0.0881,30,320,469,92,2,234,295,26,10,22,hierarchical,mnist,4,5,False
30,1500,4,9.31,2.33,0.972,0.1143,105,2,78,44,38,0,1049,157,0,27,hierarchical,mnist,4,5,False
31,1500,4,10.67,2.67,0.936,0.5044,24,6,70,0,695,251,356,7,0,91,hierarchical,mnist,4,5,False
32,1500,4,9.88,2.47,0.976,0.0665,252,18,0,80,502,50,137,180,112,169,hierarchical,mnist,4,5,False
33,1500,4,9.06,2.27,0.936,0.259,3,277,180,6,436,36,372,57,105,28,hierarchical,mnist,4,5,False
34,1500,4,9.79,2.45,0.9893,0.0412,310,5,0,18,19,440,57,44,7,600,hierarchical,mnist,4,5,False
35,1500,4,9.25,2.31,0.964,0.2023,71,128,58,229,172,519,64,213,7,39,hierarchical,mnist,4,5,False
36,1500,4,9.37,2.34,0.9287,0.3049,145,158,4,26,395,639,59,33,5,36,hierarchical,mnist,4,5,False
37,1500,4,9.66,2.42,0.9813,0.1156,1,9,275,36,260,162,0,733,6,18,hierarchical,mnist,4,5,False
38,1500,4,9.35,2.34,0.9873,0.0572,171,83,29,274,6,14,32,372,514,5,hierarchical,mnist,4,5,False
39,1500,4,10.03,2.51,0.9673,0.1526,363,116,135,0,7,26,346,460,11,36,hierarchical,mnist,4,5,False
