client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,2000,8,20.09,2.51,0.9255,0.4732,107,504,18,2,287,0,845,25,70,142,improved-agglomerative,mnist,25,5,False
1,2000,12,49.09,4.09,0.958,0.3053,764,522,101,26,15,4,338,137,17,76,improved-agglomerative,mnist,25,5,False
2,2000,25,54.49,2.18,0.9435,0.4177,68,21,87,915,125,2,428,218,81,55,improved-agglomerative,mnist,25,5,False
3,2000,9,19.9,2.21,0.998,0.0062,218,279,118,168,177,167,11,9,181,672,improved-agglomerative,mnist,25,5,False
4,2000,8,18.4,2.3,0.9945,0.0139,4,78,58,2,25,301,306,61,863,302,improved-agglomerative,mnist,25,5,False
5,2000,0,0.0,0.0,0.0,0.0,669,266,183,176,215,87,1,45,0,358,improved-agglomerative,mnist,25,5,False
6,2000,25,54.67,2.19,0.962,0.1637,298,166,23,22,102,1044,64,94,184,3,improved-agglomerative,mnist,25,5,False
7,2000,14,31.36,2.24,0.928,0.4796,58,395,268,36,27,93,192,566,225,140,improved-agglomerative,mnist,25,5,False
8,2000,7,18.88,2.7,0.994,0.0205,43,243,31,122,0,79,47,258,935,242,improved-agglomerative,mnist,25,5,False
9,2000,0,0.0,0.0,0.0,0.0,22,29,260,16,247,864,5,396,161,0,improved-agglomerative,mnist,25,5,False
10,2000,0,0.0,0.0,0.0,0.0,65,2,2,86,117,363,201,387,349,428,improved-agglomerative,mnist,25,5,False
11,2000,0,0.0,0.0,0.0,0.0,25,22,228,323,96,94,6,125,585,496,improved-agglomerative,mnist,25,5,False
12,2000,0,0.0,0.0,0.0,0.0,339,97,468,129,118,419,0,202,227,1,improved-agglomerative,mnist,25,5,False
13,2000,0,0.0,0.0,0.0,0.0,283,54,10,271,101,244,30,457,466,84,improved-agglomerative,mnist,25,5,False
14,2000,0,0.0,0.0,0.0,0.0,0,85,9,11,139,5,15,783,86,867,improved-agglomerative,mnist,25,5,False
15,2000,0,0.0,0.0,0.0,0.0,36,30,7,49,53,1272,4,502,30,17,improved-agglomerative,mnist,25,5,False
16,2000,0,0.0,0.0,0.0,0.0,5,1,625,1003,3,36,52,194,0,81,improved-agglomerative,mnist,25,5,False
17,2000,25,56.45,2.26,0.926,0.4963,751,4,218,35,0,17,63,171,592,149,improved-agglomerative,mnist,25,5,False
18,2000,0,0.0,0.0,0.0,0.0,93,8,33,105,206,35,481,462,241,336,improved-agglomerative,mnist,25,5,False
19,2000,0,0.0,0.0,0.0,0.0,337,5,1130,34,51,27,162,21,192,41,improved-agglomerative,mnist,25,5,False
20,2000,0,0.0,0.0,0.0,0.0,45,124,334,103,429,268,278,64,11,344,improved-agglomerative,mnist,25,5,False
21,2000,0,0.0,0.0,0.0,0.0,797,176,211,436,57,0,110,91,42,80,improved-agglomerative,mnist,25,5,False
22,2000,0,0.0,0.0,0.0,0.0,68,738,70,112,41,0,196,251,123,401,improved-agglomerative,mnist,25,5,False
23,2000,0,0.0,0.0,0.0,0.0,229,267,330,325,239,0,261,228,37,84,improved-agglomerative,mnist,25,5,False
24,2000,0,0.0,0.0,0.0,0.0,27,620,1,602,86,0,95,321,131,117,improved-agglomerative,mnist,25,5,False
25,2000,25,57.95,2.32,0.9605,0.3451,193,28,8,24,1097,0,367,197,22,64,improved-agglomerative,mnist,25,5,False
26,2000,0,0.0,0.0,0.0,0.0,379,304,182,197,562,0,244,0,0,132,improved-agglomerative,mnist,25,5,False
27,2000,0,0.0,0.0,0.0,0.0,0,408,280,230,526,0,319,0,0,237,improved-agglomerative,mnist,25,5,False
28,2000,0,0.0,0.0,0.0,0.0,0,630,312,460,205,0,393,0,0,0,improved-agglomerative,mnist,25,5,False
29,2000,0,0.0,0.0,0.0,0.0,0,636,353,111,496,0,404,0,0,0,improved-agglomerative,mnist,25,5,False
