client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,2000,9,27.76,3.08,0.96,0.1434,107,504,18,2,287,0,845,25,70,142,random-clustered-ucb,mnist,30,5,False
1,2000,9,15.0,1.67,0.977,0.0958,764,522,101,26,15,4,338,137,17,76,random-clustered-ucb,mnist,30,5,False
2,2000,15,25.9,1.73,0.9315,0.7703,68,21,87,915,125,2,428,218,81,55,random-clustered-ucb,mnist,30,5,False
3,2000,9,15.45,1.72,0.9975,0.0069,218,279,118,168,177,167,11,9,181,672,random-clustered-ucb,mnist,30,5,False
4,2000,9,16.57,1.84,0.9965,0.0125,4,78,58,2,25,301,306,61,863,302,random-clustered-ucb,mnist,30,5,False
5,2000,8,14.86,1.86,0.9975,0.0076,669,266,183,176,215,87,1,45,0,358,random-clustered-ucb,mnist,30,5,False
6,2000,7,14.18,2.03,0.914,0.43,298,166,23,22,102,1044,64,94,184,3,random-clustered-ucb,mnist,30,5,False
7,2000,9,15.0,1.67,0.9295,0.3091,58,395,268,36,27,93,192,566,225,140,random-clustered-ucb,mnist,30,5,False
8,2000,9,16.14,1.79,0.988,0.0461,43,243,31,122,0,79,47,258,935,242,random-clustered-ucb,mnist,30,5,False
9,2000,7,15.0,2.14,0.92,0.5228,22,29,260,16,247,864,5,396,161,0,random-clustered-ucb,mnist,30,5,False
10,2000,9,16.74,1.86,0.9975,0.007,65,2,2,86,117,363,201,387,349,428,random-clustered-ucb,mnist,30,5,False
11,2000,9,13.4,1.49,0.9985,0.0081,25,22,228,323,96,94,6,125,585,496,random-clustered-ucb,mnist,30,5,False
12,2000,8,15.99,2.0,0.989,0.059,339,97,468,129,118,419,0,202,227,1,random-clustered-ucb,mnist,30,5,False
13,2000,9,16.45,1.83,0.971,0.097,283,54,10,271,101,244,30,457,466,84,random-clustered-ucb,mnist,30,5,False
14,2000,9,13.74,1.53,0.998,0.0084,0,85,9,11,139,5,15,783,86,867,random-clustered-ucb,mnist,30,5,False
15,2000,8,11.63,1.45,0.976,0.2272,36,30,7,49,53,1272,4,502,30,17,random-clustered-ucb,mnist,30,5,False
16,2000,15,24.72,1.65,0.954,0.3136,5,1,625,1003,3,36,52,194,0,81,random-clustered-ucb,mnist,30,5,False
17,2000,13,22.24,1.71,0.9245,1.0398,751,4,218,35,0,17,63,171,592,149,random-clustered-ucb,mnist,30,5,False
18,2000,9,16.51,1.83,0.9985,0.0095,93,8,33,105,206,35,481,462,241,336,random-clustered-ucb,mnist,30,5,False
19,2000,17,29.23,1.72,0.974,0.2477,337,5,1130,34,51,27,162,21,192,41,random-clustered-ucb,mnist,30,5,False
20,2000,9,17.76,1.97,0.996,0.0135,45,124,334,103,429,268,278,64,11,344,random-clustered-ucb,mnist,30,5,False
21,2000,9,17.08,1.9,0.957,0.1706,797,176,211,436,57,0,110,91,42,80,random-clustered-ucb,mnist,30,5,False
22,2000,9,16.69,1.85,0.996,0.0166,68,738,70,112,41,0,196,251,123,401,random-clustered-ucb,mnist,30,5,False
23,2000,8,14.21,1.78,1.0,0.0011,229,267,330,325,239,0,261,228,37,84,random-clustered-ucb,mnist,30,5,False
24,2000,9,17.82,1.98,0.947,0.1885,27,620,1,602,86,0,95,321,131,117,random-clustered-ucb,mnist,30,5,False
25,2000,30,46.68,1.56,0.942,0.3998,193,28,8,24,1097,0,367,197,22,64,random-clustered-ucb,mnist,30,5,False
26,2000,7,13.28,1.9,0.998,0.008,379,304,182,197,562,0,244,0,0,132,random-clustered-ucb,mnist,30,5,False
27,2000,7,11.89,1.7,0.9985,0.0049,0,408,280,230,526,0,319,0,0,237,random-clustered-ucb,mnist,30,5,False
28,2000,8,15.14,1.89,0.9995,0.0012,0,630,312,460,205,0,393,0,0,0,random-clustered-ucb,mnist,30,5,False
29,2000,7,12.36,1.77,0.9995,0.0012,0,636,353,111,496,0,404,0,0,0,random-clustered-ucb,mnist,30,5,False
