client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,2000,9,17.24,1.92,0.94,0.256,107,504,18,2,287,0,845,25,70,142,random-clustered,mnist,30,5,False
1,2000,13,22.99,1.77,0.9775,0.0965,764,522,101,26,15,4,338,137,17,76,random-clustered,mnist,30,5,False
2,2000,19,32.23,1.7,0.9435,0.3133,68,21,87,915,125,2,428,218,81,55,random-clustered,mnist,30,5,False
3,2000,6,25.47,4.25,0.997,0.007,218,279,118,168,177,167,11,9,181,672,random-clustered,mnist,30,5,False
4,2000,9,17.32,1.92,0.986,0.0437,4,78,58,2,25,301,306,61,863,302,random-clustered,mnist,30,5,False
5,2000,9,15.43,1.71,0.997,0.0057,669,266,183,176,215,87,1,45,0,358,random-clustered,mnist,30,5,False
6,2000,6,11.82,1.97,0.906,0.7488,298,166,23,22,102,1044,64,94,184,3,random-clustered,mnist,30,5,False
7,2000,7,12.77,1.82,0.9735,0.0826,58,395,268,36,27,93,192,566,225,140,random-clustered,mnist,30,5,False
8,2000,4,8.58,2.14,0.9955,0.0147,43,243,31,122,0,79,47,258,935,242,random-clustered,mnist,30,5,False
9,2000,9,16.51,1.83,0.9195,0.6326,22,29,260,16,247,864,5,396,161,0,random-clustered,mnist,30,5,False
10,2000,9,14.84,1.65,0.998,0.0066,65,2,2,86,117,363,201,387,349,428,random-clustered,mnist,30,5,False
11,2000,7,12.07,1.72,0.9975,0.011,25,22,228,323,96,94,6,125,585,496,random-clustered,mnist,30,5,False
12,2000,9,16.68,1.85,0.986,0.0574,339,97,468,129,118,419,0,202,227,1,random-clustered,mnist,30,5,False
13,2000,13,23.18,1.78,0.9745,0.0838,283,54,10,271,101,244,30,457,466,84,random-clustered,mnist,30,5,False
14,2000,8,14.44,1.8,0.998,0.0053,0,85,9,11,139,5,15,783,86,867,random-clustered,mnist,30,5,False
15,2000,6,11.53,1.92,0.9755,0.3223,36,30,7,49,53,1272,4,502,30,17,random-clustered,mnist,30,5,False
16,2000,11,19.41,1.76,0.958,0.5807,5,1,625,1003,3,36,52,194,0,81,random-clustered,mnist,30,5,False
17,2000,16,27.24,1.7,0.9255,0.8911,751,4,218,35,0,17,63,171,592,149,random-clustered,mnist,30,5,False
18,2000,11,16.61,1.51,0.9955,0.0185,93,8,33,105,206,35,481,462,241,336,random-clustered,mnist,30,5,False
19,2000,14,25.47,1.82,0.9755,0.1394,337,5,1130,34,51,27,162,21,192,41,random-clustered,mnist,30,5,False
20,2000,6,11.8,1.97,0.9955,0.0172,45,124,334,103,429,268,278,64,11,344,random-clustered,mnist,30,5,False
21,2000,7,14.09,2.01,0.977,0.0851,797,176,211,436,57,0,110,91,42,80,random-clustered,mnist,30,5,False
22,2000,11,18.01,1.64,0.988,0.0508,68,738,70,112,41,0,196,251,123,401,random-clustered,mnist,30,5,False
23,2000,4,7.05,1.76,0.998,0.0079,229,267,330,325,239,0,261,228,37,84,random-clustered,mnist,30,5,False
24,2000,11,20.79,1.89,0.961,0.1327,27,620,1,602,86,0,95,321,131,117,random-clustered,mnist,30,5,False
25,2000,30,49.15,1.64,0.942,0.5451,193,28,8,24,1097,0,367,197,22,64,random-clustered,mnist,30,5,False
26,2000,10,16.12,1.61,0.9975,0.0057,379,304,182,197,562,0,244,0,0,132,random-clustered,mnist,30,5,False
27,2000,11,17.86,1.62,0.9985,0.0102,0,408,280,230,526,0,319,0,0,237,random-clustered,mnist,30,5,False
28,2000,5,9.9,1.98,1.0,0.0007,0,630,312,460,205,0,393,0,0,0,random-clustered,mnist,30,5,False
29,2000,10,17.92,1.79,0.9995,0.0014,0,636,353,111,496,0,404,0,0,0,random-clustered,mnist,30,5,False
