client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,2000,9,30.55,3.39,0.9635,0.1801,107,504,18,2,287,0,845,25,70,142,vanilla-ucb,mnist,30,5,False
1,2000,9,15.46,1.72,0.9755,0.1313,764,522,101,26,15,4,338,137,17,76,vanilla-ucb,mnist,30,5,False
2,2000,9,15.37,1.71,0.968,0.1461,68,21,87,915,125,2,428,218,81,55,vanilla-ucb,mnist,30,5,False
3,2000,8,10.09,1.26,0.9995,0.0021,218,279,118,168,177,167,11,9,181,672,vanilla-ucb,mnist,30,5,False
4,2000,9,17.27,1.92,0.996,0.0144,4,78,58,2,25,301,306,61,863,302,vanilla-ucb,mnist,30,5,False
5,2000,9,17.32,1.92,0.998,0.0066,669,266,183,176,215,87,1,45,0,358,vanilla-ucb,mnist,30,5,False
6,2000,9,14.84,1.65,0.988,0.047,298,166,23,22,102,1044,64,94,184,3,vanilla-ucb,mnist,30,5,False
7,2000,8,15.83,1.98,0.9825,0.0538,58,395,268,36,27,93,192,566,225,140,vanilla-ucb,mnist,30,5,False
8,2000,9,14.01,1.56,0.9975,0.0114,43,243,31,122,0,79,47,258,935,242,vanilla-ucb,mnist,30,5,False
9,2000,9,15.3,1.7,0.9875,0.0443,22,29,260,16,247,864,5,396,161,0,vanilla-ucb,mnist,30,5,False
10,2000,9,18.94,2.1,0.9955,0.0181,65,2,2,86,117,363,201,387,349,428,vanilla-ucb,mnist,30,5,False
11,2000,9,17.7,1.97,0.9985,0.0039,25,22,228,323,96,94,6,125,585,496,vanilla-ucb,mnist,30,5,False
12,2000,9,17.79,1.98,0.9935,0.0233,339,97,468,129,118,419,0,202,227,1,vanilla-ucb,mnist,30,5,False
13,2000,9,15.71,1.75,0.9915,0.035,283,54,10,271,101,244,30,457,466,84,vanilla-ucb,mnist,30,5,False
14,2000,10,18.86,1.89,0.9985,0.0028,0,85,9,11,139,5,15,783,86,867,vanilla-ucb,mnist,30,5,False
15,2000,10,19.3,1.93,0.991,0.0411,36,30,7,49,53,1272,4,502,30,17,vanilla-ucb,mnist,30,5,False
16,2000,10,17.54,1.75,0.9895,0.0472,5,1,625,1003,3,36,52,194,0,81,vanilla-ucb,mnist,30,5,False
17,2000,9,15.05,1.67,0.958,0.1652,751,4,218,35,0,17,63,171,592,149,vanilla-ucb,mnist,30,5,False
18,2000,9,17.81,1.98,0.998,0.0127,93,8,33,105,206,35,481,462,241,336,vanilla-ucb,mnist,30,5,False
19,2000,9,17.72,1.97,0.9945,0.0255,337,5,1130,34,51,27,162,21,192,41,vanilla-ucb,mnist,30,5,False
20,2000,9,17.5,1.94,0.9985,0.0048,45,124,334,103,429,268,278,64,11,344,vanilla-ucb,mnist,30,5,False
21,2000,9,18.12,2.01,0.989,0.0426,797,176,211,436,57,0,110,91,42,80,vanilla-ucb,mnist,30,5,False
22,2000,9,17.8,1.98,0.9965,0.0143,68,738,70,112,41,0,196,251,123,401,vanilla-ucb,mnist,30,5,False
23,2000,8,14.45,1.81,1.0,0.0001,229,267,330,325,239,0,261,228,37,84,vanilla-ucb,mnist,30,5,False
24,2000,9,13.89,1.54,0.967,0.1233,27,620,1,602,86,0,95,321,131,117,vanilla-ucb,mnist,30,5,False
25,2000,9,15.13,1.68,0.9655,0.2218,193,28,8,24,1097,0,367,197,22,64,vanilla-ucb,mnist,30,5,False
26,2000,9,17.87,1.99,0.9995,0.0021,379,304,182,197,562,0,244,0,0,132,vanilla-ucb,mnist,30,5,False
27,2000,9,16.35,1.82,0.9985,0.0041,0,408,280,230,526,0,319,0,0,237,vanilla-ucb,mnist,30,5,False
28,2000,9,16.43,1.83,1.0,0.0001,0,630,312,460,205,0,393,0,0,0,vanilla-ucb,mnist,30,5,False
29,2000,9,17.3,1.92,1.0,0.0001,0,636,353,111,496,0,404,0,0,0,vanilla-ucb,mnist,30,5,False
