client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,3000,10,17.7,1.77,0.0537,nan,161,757,27,3,431,0,1264,37,106,214,vanilla,mnist,10,1,False
1,3000,10,6.35,0.63,0.3813,nan,1144,783,151,39,22,7,508,205,26,115,vanilla,mnist,10,1,False
2,3000,10,6.09,0.61,0.1653,nan,496,11,107,0,9,151,296,0,1871,59,vanilla,mnist,10,1,False
3,3000,10,6.35,0.64,0.0373,nan,112,527,775,1,3,459,84,185,680,174,vanilla,mnist,10,1,False
4,3000,10,6.46,0.65,0.0007,nan,2,798,167,133,80,0,25,144,1646,5,vanilla,mnist,10,1,False
5,3000,10,7.49,0.75,0.0003,nan,1,637,4,85,354,83,251,1220,332,33,vanilla,mnist,10,1,False
6,3000,10,6.22,0.62,0.1917,nan,575,0,78,299,6,1203,491,80,17,251,vanilla,mnist,10,1,False
7,3000,10,7.54,0.75,0.0,nan,0,1,646,127,127,593,1174,27,2,303,vanilla,mnist,10,1,False
8,3000,10,7.83,0.78,0.0067,nan,20,941,139,319,468,861,13,212,10,17,vanilla,mnist,10,1,False
9,3000,10,6.52,0.65,0.0867,nan,260,751,51,45,2,375,68,921,28,499,vanilla,mnist,10,1,False
10,3000,10,6.2,0.62,0.0057,nan,17,169,916,400,11,224,358,337,216,352,vanilla,mnist,10,1,False
11,3000,10,5.97,0.6,0.0237,nan,71,154,478,1202,7,77,244,496,259,12,vanilla,mnist,10,1,False
12,3000,10,5.92,0.59,0.0057,nan,17,1091,1271,143,57,9,72,120,40,180,vanilla,mnist,10,1,False
13,3000,10,8.22,0.82,0.0113,nan,34,200,95,37,40,178,1720,512,73,111,vanilla,mnist,10,1,False
14,3000,10,6.88,0.69,0.0103,nan,31,1,0,455,159,9,67,192,8,2078,vanilla,mnist,10,1,False
15,3000,10,6.49,0.65,0.075,nan,225,24,635,35,0,206,14,466,1395,0,vanilla,mnist,10,1,False
16,3000,10,6.15,0.61,0.5747,nan,1724,193,162,431,42,22,189,108,102,27,vanilla,mnist,10,1,False
17,3000,10,6.47,0.65,0.1347,nan,404,24,1,156,32,941,187,447,58,750,vanilla,mnist,10,1,False
18,3000,10,7.58,0.76,0.0313,nan,94,458,56,205,69,4,8,1511,272,323,vanilla,mnist,10,1,False
19,3000,10,6.46,0.65,0.0103,nan,31,412,103,884,121,30,0,368,922,129,vanilla,mnist,10,1,False
