client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21,class_22,class_23,class_24,class_25,class_26,class_27,class_28,class_29,class_30,class_31,class_32,class_33,class_34,class_35,class_36,class_37,class_38,class_39,class_40,class_41,class_42,class_43,class_44,class_45,class_46,class_47,class_48,class_49,class_50,class_51,class_52,class_53,class_54,class_55,class_56,class_57,class_58,class_59,class_60,class_61,class_62,class_63,class_64,class_65,class_66,class_67,class_68,class_69,class_70,class_71,class_72,class_73,class_74,class_75,class_76,class_77,class_78,class_79,class_80,class_81,class_82,class_83,class_84,class_85,class_86,class_87,class_88,class_89,class_90,class_91,class_92,class_93,class_94,class_95,class_96,class_97,class_98,class_99,experiment_type,dataset,total_rounds,local_epochs,iid
0,2500,10,118.3,11.83,0.9016,0.9491,6,32,1,0,18,0,53,1,4,9,19,4,10,1,19,0,166,4,26,0,0,3,4,14,221,119,18,0,0,7,52,3,0,0,39,0,28,39,64,4,32,76,0,37,39,13,0,0,4,89,8,2,4,108,21,46,79,47,4,2,49,0,8,0,123,13,6,12,19,0,89,1,24,2,6,21,0,5,0,12,22,27,5,103,3,49,13,0,84,5,31,76,1,0,0,14,22,29,5,22,agglomerative,cifar100,10,5,False
1,2500,10,49.39,4.94,0.8908,1.1484,108,20,0,2,0,44,28,1,19,8,233,14,50,0,0,22,3,0,26,0,15,5,1,0,19,21,7,10,32,3,16,2,6,4,39,94,12,0,0,27,31,1,51,15,103,17,155,0,9,12,22,7,0,140,3,20,77,23,0,7,21,29,88,9,46,2,10,4,35,5,110,44,13,44,4,29,12,9,0,1,5,17,1,9,129,24,2,9,0,0,3,65,55,4,26,5,20,2,8,17,agglomerative,cifar100,10,5,False
2,2500,10,49.48,4.95,0.8848,1.1004,47,2,55,14,14,4,15,1,1,50,9,8,8,0,63,4,1,47,19,2,11,5,42,76,1,6,85,2,108,3,30,79,10,1,26,6,94,1,0,69,9,66,0,5,0,47,20,0,2,72,54,70,1,84,33,38,30,7,81,2,8,0,1,37,5,4,5,33,0,3,0,0,21,2,42,0,0,0,48,57,22,10,210,4,9,69,2,18,2,28,3,26,55,23,11,9,10,48,32,3,agglomerative,cifar100,10,5,False
3,2500,10,49.55,4.96,0.8904,1.0424,3,20,2,4,58,0,16,25,11,105,7,89,27,4,60,10,49,6,0,91,29,17,2,7,21,12,22,15,28,198,21,48,0,61,33,18,8,46,97,4,27,0,60,23,1,136,0,2,37,9,33,3,32,7,66,3,0,33,1,7,11,1,0,30,3,0,13,0,8,1,7,64,3,0,14,6,25,32,1,10,8,46,9,4,35,11,94,41,0,16,18,33,109,1,0,5,11,0,72,4,agglomerative,cifar100,10,5,False
4,2500,10,49.25,4.92,0.9084,0.6319,4,13,42,3,0,11,15,0,15,0,5,0,41,30,14,9,77,0,14,126,53,45,0,4,0,12,78,24,52,3,1,0,68,0,15,22,32,19,2,16,8,21,42,6,0,39,1,14,7,28,3,27,43,94,81,0,14,24,61,90,0,0,2,80,71,1,28,20,63,75,78,1,87,0,12,2,19,1,0,0,2,3,14,19,10,10,9,48,6,24,10,2,16,232,4,72,0,9,2,0,agglomerative,cifar100,10,5,False
5,2500,10,49.23,4.92,0.8992,1.1309,9,4,34,14,50,0,4,0,3,52,13,4,20,2,3,0,2,26,27,0,6,15,27,3,18,23,0,64,0,3,6,70,112,1,1,54,103,23,115,43,13,0,102,46,44,1,0,0,48,8,0,199,33,23,62,5,5,11,44,5,0,38,12,39,30,16,1,38,4,0,2,8,1,151,1,7,6,1,0,64,38,9,2,0,0,55,90,4,26,6,1,0,4,52,6,7,31,147,0,0,agglomerative,cifar100,10,5,False
6,2500,10,49.58,4.96,0.8908,0.9768,11,4,2,36,1,4,3,2,6,0,33,6,17,16,12,10,76,22,1,78,77,34,110,14,1,0,1,11,24,77,3,39,46,13,1,96,1,2,8,1,15,38,0,7,28,29,0,2,4,12,66,0,0,7,36,16,41,3,12,122,4,5,36,12,7,32,16,8,43,29,4,32,19,0,2,3,28,6,6,3,40,40,10,171,21,40,24,3,1,5,22,225,83,12,13,0,19,0,136,3,agglomerative,cifar100,10,5,False
7,2500,10,49.8,4.98,0.8564,1.049,7,31,126,33,0,43,0,1,31,70,3,32,0,2,68,0,2,0,62,0,3,4,147,6,23,8,57,9,3,20,4,0,2,77,12,0,38,0,19,22,1,21,77,13,10,8,11,4,1,20,1,192,3,28,19,0,4,45,49,41,1,4,22,19,45,0,18,29,7,8,9,43,109,41,17,1,20,4,17,1,14,107,9,0,14,32,88,20,12,97,32,36,27,3,13,0,44,2,18,4,agglomerative,cifar100,10,5,False
8,2500,10,49.31,4.93,0.9048,0.8953,20,12,37,3,18,1,17,63,3,35,31,0,15,31,3,9,20,34,35,3,15,6,7,7,12,0,6,137,1,26,15,3,38,39,10,44,10,21,7,26,8,10,89,5,55,3,74,4,85,90,10,0,68,0,2,0,90,27,10,5,4,0,103,2,4,87,10,7,44,2,40,1,66,9,35,4,83,53,16,8,75,0,0,5,2,0,0,7,12,1,182,18,65,27,4,5,35,4,12,13,agglomerative,cifar100,10,5,False
9,2500,10,49.45,4.95,0.8976,1.0319,12,4,23,1,28,14,62,6,11,29,6,4,22,19,128,2,19,16,7,3,5,5,59,7,18,68,5,2,123,45,1,6,18,31,2,30,0,5,54,5,32,1,59,0,71,0,1,22,40,0,10,0,84,0,5,4,3,2,16,16,0,9,17,33,1,36,64,35,44,75,81,37,0,1,40,70,5,0,41,34,41,186,0,11,7,16,29,3,7,49,1,2,48,36,7,7,68,40,14,34,agglomerative,cifar100,10,5,False
