client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,2500,50,243.17,4.86,0.9196,2.7592,134,631,23,3,359,0,1053,31,88,178,agglomerative,cifar10,50,5,False
1,2500,50,240.73,4.81,0.9208,2.5448,263,321,145,18,2,575,115,12,864,185,agglomerative,cifar10,50,5,False
2,2500,0,0.0,0.0,0.0,0.0,0,554,694,0,31,7,360,241,365,248,agglomerative,cifar10,50,5,False
3,2500,50,240.68,4.81,0.9564,0.342,525,480,10,247,593,236,66,306,33,4,agglomerative,cifar10,50,5,False
4,2500,50,240.1,4.8,0.9216,2.6814,282,33,269,635,33,556,16,254,240,182,agglomerative,cifar10,50,5,False
5,2500,0,0.0,0.0,0.0,0.0,50,136,23,61,40,63,1049,314,359,405,agglomerative,cifar10,50,5,False
6,2500,0,0.0,0.0,0.0,0.0,477,262,14,23,28,808,494,385,6,3,agglomerative,cifar10,50,5,False
7,2500,50,240.23,4.8,0.9544,1.4092,131,83,469,587,410,0,74,79,574,93,agglomerative,cifar10,50,5,False
8,2500,0,0.0,0.0,0.0,0.0,33,94,85,236,332,615,117,144,192,652,agglomerative,cifar10,50,5,False
9,2500,0,0.0,0.0,0.0,0.0,848,1,91,412,385,397,140,55,26,145,agglomerative,cifar10,50,5,False
10,2500,0,0.0,0.0,0.0,0.0,17,446,0,1,34,121,297,465,35,1084,agglomerative,cifar10,50,5,False
11,2500,0,0.0,0.0,0.0,0.0,312,932,10,659,68,237,11,229,23,19,agglomerative,cifar10,50,5,False
12,2500,0,0.0,0.0,0.0,0.0,13,363,699,2,98,649,19,565,89,3,agglomerative,cifar10,50,5,False
13,2500,0,0.0,0.0,0.0,0.0,87,664,77,747,519,193,53,52,55,53,agglomerative,cifar10,50,5,False
14,2500,0,0.0,0.0,0.0,0.0,183,0,294,43,276,38,301,88,288,989,agglomerative,cifar10,50,5,False
15,2500,0,0.0,0.0,0.0,0.0,55,0,68,942,647,10,93,89,592,4,agglomerative,cifar10,50,5,False
16,2500,0,0.0,0.0,0.0,0.0,375,0,499,37,126,348,352,544,145,74,agglomerative,cifar10,50,5,False
17,2500,0,0.0,0.0,0.0,0.0,512,0,691,35,661,83,390,24,70,34,agglomerative,cifar10,50,5,False
18,2500,0,0.0,0.0,0.0,0.0,185,0,358,183,358,40,0,397,334,645,agglomerative,cifar10,50,5,False
19,2500,50,240.08,4.8,0.9648,0.3015,518,0,481,129,0,24,0,726,622,0,agglomerative,cifar10,50,5,False
